"";"nimi";"koodi";"paavo.vuosi.offset";"aggr";"weight";"ratio.base"
"101";"X Toimiala tuntematon TP";"tp_x_tunt";-3;"sum";"";"tp_tyopy"
"102";"Asukkaat yhteensä PT";"pt_vakiy";-3;"sum";"";""
"103";"Työvoima PT";"pt_tyovy";-3;"sum";"";"pt_vakiy"
"104";"Työlliset PT";"pt_tyoll";-3;"sum";"";"pt_vakiy"
"105";"Työttömät PT";"pt_tyott";-3;"sum";"";"pt_vakiy"
"106";"Työvoiman ulkopuolella olevat PT";"pt_tyovu";-3;"sum";"";"pt_vakiy"
"107";"Lapset 0-14 -vuotiaat PT";"pt_0_14";-3;"sum";"";"pt_vakiy"
"108";"Opiskelijat PT";"pt_opisk";-3;"sum";"";"pt_vakiy"
"109";"Eläkeläiset PT";"pt_elakel";-3;"sum";"";"pt_vakiy"
"110";"Muut PT";"pt_muut";-3;"sum";"";"pt_vakiy"
